statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,449.0,449.0,449.0,449.0,449.0,449.0,449.0,449.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.15271843835589963,0.16577410877960794,129.82850779510022,211.52338530066814,0.3290284533470554,0.03144691447687972,0.1547323741798677,0.671256590989132
std,0.1692027214774109,0.16848086515623484,150.38857256095008,347.57307814731547,0.28501315095377394,0.013459725927517194,0.01570629457181802,0.2694197292819805
min,0.0,0.0,2.0,6.0,-0.24131444096565247,0.01999017409980297,0.12455816566944122,0.00222717149220486
25%,0.0,0.02197802197802198,26.0,38.0,0.07581356167793274,0.02548121102154255,0.1453169882297516,0.48106904231625836
50%,0.0958904109589041,0.11708860759493671,75.0,92.0,0.2753213346004486,0.028169475495815277,0.151568204164505,0.7260579064587973
75%,0.24390243902439024,0.26119402985074625,175.0,242.0,0.5533937215805054,0.031729556620121,0.15967388451099396,0.9153674832962138
max,0.7227564102564102,0.7074626865671642,778.0,1891.0,0.9304010272026062,0.15216009318828583,0.25249817967414856,1.0
