statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.2154785153052915,0.29070898298744247,438.4671985815603,1124.1781914893618,0.4051556195509546,0.006776215247316567,0.032132693054484775,0.8591510110155424
std,0.12094415532191599,0.09882480782886771,183.62073868589127,324.0810928340082,0.24696656256820343,0.006929529294890246,0.008114811516172469,0.20511769687154835
min,0.0,0.01282051282051282,15.0,53.0,-0.3922225534915924,0.0009110746323131025,0.01205315813422203,0.0008865248226950229
25%,0.11899791231732777,0.216597510373444,301.0,887.0,0.24133826792240143,0.004930855240672827,0.027294335886836052,0.799645390070922
50%,0.2062992125984252,0.2807017543859649,408.0,1132.0,0.4238778054714203,0.006208762060850859,0.031215040013194084,0.9556737588652482
75%,0.2927241962774958,0.3557498318762609,538.0,1359.0,0.5958871841430664,0.007598421536386013,0.03568214550614357,0.9955673758865248
max,0.6121449559255632,0.6262548262548262,1130.0,1923.0,0.8869495987892151,0.17313949763774872,0.11254019290208817,1.0
