statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.1834929756807801,0.25986068353694397,322.459219858156,893.2047872340426,0.35033153245898035,0.00917802012033417,0.03460942205877195,0.7508260085005786
std,0.11481842766241757,0.08698811882080595,124.78876606077979,324.7638029074752,0.21845483331086585,0.00468397813629352,0.007295113065088383,0.26752509554010234
min,0.0,0.0,13.0,3.0,-0.32814496755599976,0.0014792564325034618,0.01471943873912096,0.0008865248226950229
25%,0.08759124087591241,0.2011070110701107,233.0,636.0,0.19747383892536163,0.005462127272039652,0.02953297086060047,0.575354609929078
50%,0.16666666666666666,0.2463011314186249,301.0,840.0,0.3534539043903351,0.008525410667061806,0.03469661623239517,0.8652482269503546
75%,0.26382978723404255,0.3076271186440678,386.0,1118.0,0.5064131021499634,0.01212200429290533,0.03930974751710892,0.974290780141844
max,0.6068965517241379,0.6091867469879518,1015.0,1736.0,0.9090110659599304,0.06688283383846283,0.09600243717432022,1.0
