statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.2603801638733037,0.3474026368922369,544.5971606033718,1171.0727595385981,0.44409087245852935,0.004504332875361056,0.022593769644814302,0.8876523565716552
std,0.15393179395950954,0.12367393043547492,232.67133741187783,248.3291090241677,0.19687508516197444,0.002247740244484819,0.005688384131741733,0.18737013772851763
min,0.0,0.03046594982078853,76.0,151.0,-0.2950485050678253,0.0004752517561428249,0.009374627843499184,0.004436557231588312
25%,0.14527845036319612,0.2561702127659575,377.0,1018.0,0.3141652047634125,0.003142991103231907,0.019610654562711716,0.8624667258207631
50%,0.226775956284153,0.3253689388615601,488.0,1145.0,0.46831271052360535,0.004252069629728794,0.02228044532239437,0.9787045252883763
75%,0.3497942386831276,0.4181654676258993,658.0,1301.0,0.5916488766670227,0.005515038967132568,0.024912029504776,0.9982253771073647
max,0.8102595797280593,0.8089668615984406,1618.0,1978.0,0.8458743691444397,0.03410720080137253,0.09563159197568893,1.0
