statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.28234129382054535,0.35970877005267243,446.6932624113475,862.9964539007092,0.547720810932752,0.005835708002444251,0.030016394287466684,0.8972802235803029
std,0.14292808453575526,0.11064196702440238,168.28695300769022,246.25436093646508,0.2564625245627013,0.00420154381388491,0.006787736474356213,0.1889708731195544
min,0.0,0.0,24.0,42.0,-0.236753910779953,0.0008965851739048958,0.012729978188872337,0.0017730496453900457
25%,0.17132867132867133,0.2765647743813683,339.0,689.0,0.37737828493118286,0.004003335256129503,0.025927096605300903,0.8936170212765957
50%,0.275,0.35170603674540685,419.0,818.0,0.6016027927398682,0.005349555052816868,0.029423652216792107,0.9813829787234043
75%,0.3874458874458874,0.4389312977099237,508.0,1008.0,0.7618221640586853,0.006901845335960388,0.03307458385825157,0.9964539007092199
max,0.774281805745554,0.7738831615120275,1462.0,1719.0,0.9228673577308655,0.10853569954633713,0.10734059661626816,1.0
