cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
CVCL_0023,0,0.518261730670929,0.7164098620414734,0.769467294216156,0.8199393153190613,0.7626709938049316,,0.005
CVCL_0023,0,0.518261730670929,0.7164098620414734,0.769467294216156,0.8199393153190613,0.7626709938049316,,0.01
CVCL_0023,0,0.5187431573867798,0.7166520357131958,0.7695088386535645,0.8207707405090332,0.7636288404464722,,0.1
CVCL_0023,0,0.5189236998558044,0.7170552611351013,0.7699208855628967,0.8209640383720398,0.7638605237007141,,0.2
CVCL_0023,0,0.5194034576416016,0.7184011936187744,0.7716001868247986,0.821570873260498,0.7660766243934631,,0.5
CVCL_0023,0,0.5627411603927612,0.755286455154419,0.8055500388145447,0.8786853551864624,0.786935567855835,,0.8
CVCL_0023,0,0.5635074973106384,0.7559741139411926,0.8063446879386902,0.8799769878387451,0.7880564332008362,,0.9
CVCL_0023,0,0.5643922090530396,0.7569966316223145,0.8071151971817017,0.8809612393379211,0.7884857058525085,,0.99
CVCL_0023,0,0.5643922090530396,0.7569966316223145,0.8071151971817017,0.8809612393379211,0.7884857058525085,,0.995
CVCL_0023,1,0.5125240087509155,0.7162532210350037,0.7687143087387085,0.8162791132926941,0.7625874876976013,,0.005
CVCL_0023,1,0.5125240087509155,0.7162532210350037,0.7687143087387085,0.8162791132926941,0.7625874876976013,,0.01
CVCL_0023,1,0.5128235220909119,0.7168175578117371,0.7696454524993896,0.8165971636772156,0.7641646265983582,,0.1
CVCL_0023,1,0.5130247473716736,0.7170729041099548,0.770072877407074,0.817152738571167,0.7647168040275574,,0.2
CVCL_0023,1,0.5131187438964844,0.7180134654045105,0.7705692052841187,0.8172481060028076,0.7655819058418274,,0.5
CVCL_0023,1,0.5573692321777344,0.7585825324058533,0.8083567023277283,0.8765625357627869,0.7912303805351257,,0.8
CVCL_0023,1,0.5574373006820679,0.758582592010498,0.8083720207214355,0.8769237399101257,0.7917575240135193,,0.9
CVCL_0023,1,0.5582920908927917,0.7586753964424133,0.8083961606025696,0.877807080745697,0.7918444871902466,,0.99
CVCL_0023,1,0.5582920908927917,0.7586753964424133,0.8083961606025696,0.877807080745697,0.7918444871902466,,0.995
CVCL_0023,2,0.5388880968093872,0.7096899747848511,0.7640573382377625,0.8109373450279236,0.7581621408462524,,0.005
CVCL_0023,2,0.5388880968093872,0.7096899747848511,0.7640573382377625,0.8109373450279236,0.7581621408462524,,0.01
CVCL_0023,2,0.5388889312744141,0.7106835246086121,0.7648168802261353,0.8113321661949158,0.7595333456993103,,0.1
CVCL_0023,2,0.539482057094574,0.7110921144485474,0.7653005719184875,0.8119409084320068,0.7595356106758118,,0.2
CVCL_0023,2,0.5403111577033997,0.7124795913696289,0.766793429851532,0.8131549954414368,0.7610710263252258,,0.5
CVCL_0023,2,0.5877450704574585,0.7519738674163818,0.8043970465660095,0.8767312169075012,0.7863516807556152,,0.8
CVCL_0023,2,0.5886875987052917,0.7525016069412231,0.8046285510063171,0.8779521584510803,0.7865877151489258,,0.9
CVCL_0023,2,0.5887864828109741,0.7532423138618469,0.8052108883857727,0.878086507320404,0.7870166897773743,,0.99
CVCL_0023,2,0.5887864828109741,0.7532423138618469,0.8052108883857727,0.878086507320404,0.7870166897773743,,0.995
CVCL_0023,3,0.5758488178253174,0.6826817989349365,0.7434715032577515,0.7885718941688538,0.7398996949195862,,0.005
CVCL_0023,3,0.5758488178253174,0.6826817989349365,0.7434715032577515,0.7885718941688538,0.7398996949195862,,0.01
CVCL_0023,3,0.5758923292160034,0.6827506422996521,0.743989109992981,0.7890148758888245,0.7400555610656738,,0.1
CVCL_0023,3,0.5762054324150085,0.6832698583602905,0.7445796132087708,0.7890956997871399,0.7420227527618408,,0.2
CVCL_0023,3,0.5764837861061096,0.6846653819084167,0.7459926605224609,0.789780855178833,0.7428721785545349,,0.5
CVCL_0023,3,0.637651264667511,0.7439538836479187,0.8009882569313049,0.8723107576370239,0.7811858057975769,,0.8
CVCL_0023,3,0.6378664970397949,0.7440415620803833,0.8009988069534302,0.8727383017539978,0.7812435030937195,,0.9
CVCL_0023,3,0.6381775140762329,0.744805634021759,0.8022193908691406,0.8732502460479736,0.7830603122711182,,0.99
CVCL_0023,3,0.6381775140762329,0.744805634021759,0.8022193908691406,0.8732502460479736,0.7830603122711182,,0.995
CVCL_0023,4,0.528269350528717,0.6971170902252197,0.7535451650619507,0.7954384684562683,0.7515559792518616,,0.005
CVCL_0023,4,0.528269350528717,0.6971170902252197,0.7535451650619507,0.7954384684562683,0.7515559792518616,,0.01
CVCL_0023,4,0.528371274471283,0.6976146697998047,0.7541956901550293,0.7955923676490784,0.7519795298576355,,0.1
CVCL_0023,4,0.5289568305015564,0.6982567310333252,0.7547455430030823,0.7963254451751709,0.7527971863746643,,0.2
CVCL_0023,4,0.5294077396392822,0.6988936066627502,0.7553688883781433,0.7969791293144226,0.7533138394355774,,0.5
CVCL_0023,4,0.5871376395225525,0.7534031271934509,0.8061556220054626,0.8739265203475952,0.7886775135993958,,0.8
CVCL_0023,4,0.5887787938117981,0.7538460493087769,0.806557834148407,0.876571774482727,0.7888270616531372,,0.9
CVCL_0023,4,0.5890346169471741,0.7545542120933533,0.8073437213897705,0.8766610622406006,0.7892866730690002,,0.99
CVCL_0023,4,0.5890346169471741,0.7545542120933533,0.8073437213897705,0.8766610622406006,0.7892866730690002,,0.995
CVCL_0028,0,0.23173455893993378,0.8269696235656738,0.8407250642776489,0.8708369135856628,0.8377796411514282,,0.005
CVCL_0028,0,0.23173455893993378,0.8269696235656738,0.8407250642776489,0.8708369135856628,0.8377796411514282,,0.01
CVCL_0028,0,0.23234526813030243,0.8277574181556702,0.8413286805152893,0.8720020055770874,0.8391276001930237,,0.1
CVCL_0028,0,0.23300625383853912,0.8277846574783325,0.8418909311294556,0.8732583522796631,0.839131236076355,,0.2
