quantile,value,pert_id,n_batches_pert,cell_line
0.995,7.896672817317443,AZ 960,2,sciplex_MCF7
0.1,4.2294033292127855,AZD1480,2,sciplex_MCF7
0.2,4.4007215221413585,AZD1480,2,sciplex_MCF7
0.5,5.765907740276198,AZD1480,2,sciplex_MCF7
0.8,6.615934251990205,AZD1480,2,sciplex_MCF7
0.9,6.789003615885406,AZD1480,2,sciplex_MCF7
0.99,7.073543314850088,AZD1480,2,sciplex_MCF7
0.995,7.216563617799698,AZD1480,2,sciplex_MCF7
0.1,3.083569650867675,Abexinostat (PCI-24781),2,sciplex_MCF7
0.2,3.1139452326709134,Abexinostat (PCI-24781),2,sciplex_MCF7
0.5,3.2284634181198184,Abexinostat (PCI-24781),2,sciplex_MCF7
0.8,4.814162917883486,Abexinostat (PCI-24781),2,sciplex_MCF7
0.9,4.884214338301823,Abexinostat (PCI-24781),2,sciplex_MCF7
0.99,5.069573053149004,Abexinostat (PCI-24781),2,sciplex_MCF7
0.995,5.0713056195188715,Abexinostat (PCI-24781),2,sciplex_MCF7
0.1,3.839522546340879,Alendronate sodium trihydrate,2,sciplex_MCF7
0.2,3.937577469378576,Alendronate sodium trihydrate,2,sciplex_MCF7
0.5,4.107359119692632,Alendronate sodium trihydrate,2,sciplex_MCF7
0.8,5.3301199964013035,Alendronate sodium trihydrate,2,sciplex_MCF7
0.9,5.59270640264147,Alendronate sodium trihydrate,2,sciplex_MCF7
0.99,6.326669317863424,Alendronate sodium trihydrate,2,sciplex_MCF7
0.995,6.422260070292384,Alendronate sodium trihydrate,2,sciplex_MCF7
0.1,3.9073012684400594,Alisertib (MLN8237),2,sciplex_MCF7
0.2,3.983277503962428,Alisertib (MLN8237),2,sciplex_MCF7
0.5,5.618953931726338,Alisertib (MLN8237),2,sciplex_MCF7
0.8,5.986538593050929,Alisertib (MLN8237),2,sciplex_MCF7
0.9,6.081748702957147,Alisertib (MLN8237),2,sciplex_MCF7
0.99,6.396113958354771,Alisertib (MLN8237),2,sciplex_MCF7
0.995,6.402654492501409,Alisertib (MLN8237),2,sciplex_MCF7
0.1,3.5540872941286605,Altretamine,2,sciplex_MCF7
0.2,3.6044900606494994,Altretamine,2,sciplex_MCF7
0.5,3.740263288565625,Altretamine,2,sciplex_MCF7
0.8,4.440783897772598,Altretamine,2,sciplex_MCF7
0.9,5.465220384072568,Altretamine,2,sciplex_MCF7
0.99,6.035164933070774,Altretamine,2,sciplex_MCF7
0.995,6.038580411606559,Altretamine,2,sciplex_MCF7
0.1,9.776685426291058,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.2,10.618196566132948,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.5,13.653079583577304,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.8,17.093414692662403,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.9,17.85996669501444,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.99,19.781370235796754,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.995,19.815667689286432,Alvespimycin (17-DMAG) HCl,2,sciplex_MCF7
0.1,3.2089224418978564,Aminoglutethimide ,2,sciplex_MCF7
0.2,3.246366878133128,Aminoglutethimide ,2,sciplex_MCF7
0.5,3.330279862561218,Aminoglutethimide ,2,sciplex_MCF7
0.8,3.826648238925235,Aminoglutethimide ,2,sciplex_MCF7
0.9,4.912106300031543,Aminoglutethimide ,2,sciplex_MCF7
0.99,5.125834849316546,Aminoglutethimide ,2,sciplex_MCF7
0.995,5.130870306665834,Aminoglutethimide ,2,sciplex_MCF7
0.1,3.4505941454756224,Amisulpride,2,sciplex_MCF7
0.2,3.5126865641929843,Amisulpride,2,sciplex_MCF7
0.5,4.594470407709941,Amisulpride,2,sciplex_MCF7
0.8,5.129476127413805,Amisulpride,2,sciplex_MCF7
0.9,5.316684459903589,Amisulpride,2,sciplex_MCF7
0.99,5.593348491457294,Amisulpride,2,sciplex_MCF7
0.995,5.652163121625856,Amisulpride,2,sciplex_MCF7
0.1,3.3631194664619937,Anacardic Acid,2,sciplex_MCF7
0.2,3.4197530450021247,Anacardic Acid,2,sciplex_MCF7
0.5,3.6018215909842004,Anacardic Acid,2,sciplex_MCF7
0.8,5.129831725377916,Anacardic Acid,2,sciplex_MCF7
0.9,5.516851023861737,Anacardic Acid,2,sciplex_MCF7
0.99,5.852940533649512,Anacardic Acid,2,sciplex_MCF7
0.995,5.89939925571817,Anacardic Acid,2,sciplex_MCF7
0.1,3.2843950830141497,Andarine,2,sciplex_MCF7
0.2,3.3632078574182867,Andarine,2,sciplex_MCF7
0.5,5.100105116861323,Andarine,2,sciplex_MCF7
0.8,5.486947222672285,Andarine,2,sciplex_MCF7
0.9,5.6397035134097875,Andarine,2,sciplex_MCF7
0.99,6.139120087047103,Andarine,2,sciplex_MCF7
0.995,6.160850587056623,Andarine,2,sciplex_MCF7
0.1,3.1966954186992464,Aurora A Inhibitor I,2,sciplex_MCF7
0.2,3.2495384856353753,Aurora A Inhibitor I,2,sciplex_MCF7
