cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
hTERT-RPE1,1,0.8115332126617432,0.5708922743797302,0.6626860499382019,0.835519015789032,0.6087127923965454,,0.5
Jurkat,2,0.7963578701019287,0.5204483270645142,0.6008108258247375,0.844412624835968,0.5449532270431519,,0.5
K-562,4,0.8622106909751892,0.5797130465507507,0.6794645190238953,0.8540864586830139,0.6189672350883484,,0.5
hTERT-RPE1,0,0.8225416541099548,0.5598304271697998,0.6525703072547913,0.8371565341949463,0.5969736576080322,,0.5
Hep-G2,1,0.800004243850708,0.5665949583053589,0.6532662510871887,0.8434677124023438,0.6002404093742371,,0.5
Hep-G2,4,0.800504744052887,0.5761269927024841,0.664574146270752,0.8485625386238098,0.6111801862716675,,0.5
Hep-G2,2,0.8009300231933594,0.56393963098526,0.6514787673950195,0.8431310653686523,0.598048210144043,,0.5
hTERT-RPE1,2,0.829961359500885,0.576678454875946,0.6725317239761353,0.8380904197692871,0.6176104545593262,,0.5
K-562,2,0.8608035445213318,0.5754245519638062,0.6750575304031372,0.8459951877593994,0.6177269816398621,,0.5
Hep-G2,3,0.8040421009063721,0.5636200904846191,0.651475727558136,0.8439185619354248,0.5970777869224548,,0.5
hTERT-RPE1,4,0.8150458931922913,0.575137734413147,0.6666297912597656,0.8393521308898926,0.6133911609649658,,0.5
hTERT-RPE1,0,0.823584794998169,0.5610915422439575,0.6533499360084534,0.838850200176239,0.5975652933120728,,0.8
hTERT-RPE1,1,0.8129162192344666,0.5717496275901794,0.6636227965354919,0.8375411033630371,0.6094678640365601,,0.8
K-562,2,0.8621345162391663,0.5759751200675964,0.6756560802459717,0.8481727838516235,0.6186486482620239,,0.8
Hep-G2,2,0.8018006086349487,0.5665233731269836,0.6548836827278137,0.844789445400238,0.6005820035934448,,0.8
hTERT-RPE1,3,0.8335050940513611,0.5639671683311462,0.6584631204605103,0.8384578227996826,0.6030763387680054,,0.8
Jurkat,4,0.7938560843467712,0.5263678431510925,0.6065213084220886,0.8470373749732971,0.5513356924057007,,0.8
Jurkat,0,0.792218804359436,0.5168934464454651,0.5950751304626465,0.8482820987701416,0.5397160649299622,,0.8
