statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,449.0,449.0,449.0,449.0,449.0,449.0,449.0,449.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.160414047056024,0.16447198275640804,129.82850779510022,137.6325167037862,0.31490919682667085,0.028868988575310114,0.15137298922894526,0.6565989256005674
std,0.17984275850789985,0.1820841531562966,150.38857256095008,153.15580860078728,0.28690086701192286,0.00625021569551006,0.01242158343888681,0.2714654300892645
min,0.0,0.0,2.0,5.0,-0.17698976397514343,0.020486215129494667,0.12713147699832916,0.00222717149220486
25%,0.0,0.0,26.0,28.0,0.06315682083368301,0.025002362206578255,0.14283080399036407,0.44988864142538976
50%,0.08791208791208792,0.08823529411764706,75.0,67.0,0.24288484454154968,0.027314845472574234,0.14852899312973022,0.7082405345211582
75%,0.2727272727272727,0.2857142857142857,175.0,207.0,0.5571200847625732,0.030800074338912964,0.15817280113697052,0.8997772828507795
max,0.719551282051282,0.7013574660633484,778.0,820.0,0.9176969528198242,0.06997151672840118,0.21654629707336426,1.0
