statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.26795887943268365,0.29283095951174337,291.5391923990499,372.43467933491684,0.48131902711540614,0.025986307316112404,0.1378139373171641,0.6907769646977844
std,0.24267020148286145,0.2403006351044898,239.71340330111573,248.73341750749225,0.3596000987999236,0.006522173345328156,0.013009491018147003,0.25970575648089866
min,0.0,0.0,9.0,26.0,-0.5820052027702332,0.017012814059853554,0.11195696890354156,0.014251781472684133
25%,0.034482758620689655,0.055232558139534885,74.0,154.0,0.20860661566257477,0.021664975211024284,0.12837550044059753,0.515439429928741
50%,0.1901081916537867,0.2433234421364985,231.0,372.0,0.5687723755836487,0.023935260251164436,0.13524365425109863,0.7434679334916865
75%,0.5089285714285714,0.5368171021377672,458.0,549.0,0.8044242858886719,0.0287666916847229,0.14419442415237427,0.9239904988123515
max,0.7331759149940968,0.7254464285714286,1008.0,1054.0,0.9500545263290405,0.06301817297935486,0.19221456348896027,1.0
