statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,449.0,449.0,449.0,449.0,449.0,449.0,449.0,449.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.12220906099821582,0.11922152775109433,129.82850779510022,90.71269487750557,0.32227753172836004,0.00703836797388117,0.057343253218682944,0.6932257280469839
std,0.18680625904737164,0.1918707742311488,150.38857256095008,178.95346772499767,0.29811901421969955,0.005364062822203963,0.018053145340602206,0.275044408573167
min,0.0,0.0,2.0,0.0,-0.20380853116512299,0.001017415546812117,0.02183893881738186,0.00222717149220486
25%,0.0,0.0,26.0,0.0,0.06739668548107147,0.003789540147408843,0.0444321371614933,0.4832962138084632
50%,0.008130081300813009,0.0,75.0,3.0,0.2687501609325409,0.005686317104846239,0.05500863119959831,0.7594654788418709
75%,0.19653179190751446,0.20833333333333334,175.0,88.0,0.5539435744285583,0.008334482088685036,0.06497868150472641,0.9443207126948775
max,0.7291666666666666,0.9,778.0,1135.0,0.921241044998169,0.05273937061429024,0.15649554133415222,1.0
