statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,449.0,449.0,449.0,449.0,449.0,449.0,449.0,449.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.08512616324191748,0.05905087654770629,129.82850779510022,1319.1915367483296,0.24007882342470566,0.010262527007854363,0.07029078031717935,0.6383004052559264
std,0.10269563610661762,0.07397193605074187,150.38857256095008,170.18331455584442,0.19995366533650116,0.006993732545599721,0.020674302231244942,0.266030734411105
min,0.0,0.0007733952049497294,2.0,759.0,-0.23968011140823364,0.001340495771728456,0.024138133972883224,0.011135857461024523
25%,0.0,0.010752688172043012,26.0,1218.0,0.07670226693153381,0.005761635024100542,0.05616695433855057,0.4365256124721604
50%,0.04580152671755725,0.02959830866807611,75.0,1319.0,0.20605356991291046,0.008340742439031601,0.06690876930952072,0.6770601336302895
75%,0.125,0.0785669390320553,175.0,1430.0,0.37725940346717834,0.012782732024788857,0.08180375397205353,0.8708240534521158
max,0.47334200260078024,0.3872901678657074,778.0,1708.0,0.7868520021438599,0.04981952905654907,0.14723114669322968,1.0
