statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.17936894446156593,0.08741274491578796,197.6078947368421,1323.0026315789473,0.41264422365072134,0.008460357555764188,0.05754824031242414,0.5021745152354571
std,0.19708048151533683,0.10372382101561275,227.29573784852408,117.44335632790441,0.33598604387808634,0.0073198949685454396,0.018889374146674964,0.2894375296772199
min,0.0,0.0014577259475218659,2.0,1149.0,-0.40239888429641724,0.0013915279414504766,0.025674626231193542,0.0026315789473684292
25%,0.0,0.009060955518945634,23.0,1240.0,0.1606990396976471,0.004469614941626787,0.04605083912611008,0.25263157894736843
50%,0.0847457627118644,0.03462157809983897,80.0,1312.0,0.46749210357666016,0.005964596755802631,0.05276806652545929,0.5026315789473684
75%,0.3590504451038576,0.1387900355871886,325.0,1385.0,0.7047523856163025,0.00880963634699583,0.06260846555233002,0.75
max,0.6038894575230297,0.47375596455351054,986.0,1702.0,0.8979816436767578,0.055617015808820724,0.14340423047542572,1.0
