statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.16814892126119768,0.26381613030514733,531.9511978704526,1990.611357586513,0.393000677637855,0.0008524086868390492,0.008371255327901988,0.5004436557231589
std,0.13761663250689665,0.1167028803915652,232.6050065894587,4.438025442125027,0.18834565915941823,0.0018172545493513042,0.004652469820858691,0.28880317857298565
min,0.0,0.03709428129829984,75.0,1870.0,-0.2165067046880722,0.000057994348026113585,0.0025652844924479723,0.0008873114463177068
25%,0.06462585034013606,0.18031140130587645,365.0,1991.0,0.25980955362319946,0.0002886350848712027,0.0057680606842041016,0.251109139307897
50%,0.11414790996784566,0.233550979407333,472.0,1991.0,0.40692105889320374,0.00046549702528864145,0.007300097029656172,0.5004436557231589
75%,0.22784810126582278,0.3214465092918132,646.0,1991.0,0.5453908443450928,0.0007873641443438828,0.009302444756031036,0.7506654835847383
max,0.8144712430426716,0.8076343545956806,1617.0,1996.0,0.79556804895401,0.03011215664446354,0.044810157269239426,1.0
