statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.12913429703559093,0.22090583729545427,444.38829787234044,1986.9060283687943,0.5412967471698037,0.0022293585317509895,0.014569233911002967,0.5004432624113475
std,0.08993494371209154,0.08345347241987813,166.28713347437096,9.637624023169389,0.32102729462406887,0.00472692943022883,0.008468396596976308,0.28880306508396214
min,0.0,0.013824884792626729,24.0,1736.0,-0.5083228349685669,0.00015899153368081897,0.004539733752608299,0.0008865248226950229
25%,0.07250755287009064,0.1675050301810865,338.0,1987.0,0.38197416067123413,0.0006713892216794193,0.00968644954264164,0.250886524822695
50%,0.10057471264367816,0.20684448917966783,417.0,1988.0,0.649411678314209,0.0011632079258561134,0.01252847071737051,0.500886524822695
75%,0.15483870967741936,0.2523881347410759,506.0,1989.0,0.7988245487213135,0.0019548756536096334,0.016087237745523453,0.75
max,0.738030095759234,0.7320261437908496,1462.0,1991.0,0.9176591038703918,0.09019046276807785,0.1085895374417305,1.0
