statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.11293660201754195,0.21052979628310658,423.0735815602837,1990.5921985815603,0.32492063475452365,0.0018069757398921568,0.01323224976493693,0.5004432624113475
std,0.09052749001447576,0.09058155377839275,180.38379888554843,10.605970566899714,0.25147031113216095,0.005081710319907392,0.007738467596750974,0.28880306508396214
min,0.0,0.006798866855524079,14.0,1765.0,-0.2956790030002594,0.00007013822323642671,0.003305977676063776,0.0008865248226950229
25%,0.05042016806722689,0.14206827309236947,288.0,1990.0,0.1349967122077942,0.0005513925570994616,0.00870218314230442,0.250886524822695
50%,0.08174386920980926,0.19427710843373494,391.0,1992.0,0.3142387866973877,0.0009828214533627033,0.011754259467124939,0.500886524822695
75%,0.14395393474088292,0.2632898696088265,528.0,1992.0,0.5583372116088867,0.0016096994513645768,0.015028045512735844,0.75
max,0.5004428697962799,0.5651302605210421,1129.0,1996.0,0.7980316877365112,0.11275522410869598,0.11252128332853317,1.0
