statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.20221930913602087,0.22106557448832795,197.6078947368421,271.36578947368423,0.3943561109539587,0.018856208276395735,0.1170816332101822,0.7217174515235456
std,0.24817349044214299,0.24497401637339472,227.29573784852408,232.21774739209872,0.3472747373090286,0.004825612394930884,0.010867836123807558,0.2540676095692095
min,0.0,0.0,2.0,14.0,-0.32516321539878845,0.011547952890396118,0.09404949098825455,0.007894736842105288
25%,0.0,0.01639344262295082,23.0,66.0,0.07404115796089172,0.01586531661450863,0.10960514843463898,0.55
50%,0.06521739130434782,0.1,80.0,217.0,0.3971913754940033,0.01773223467171192,0.11548611521720886,0.7973684210526316
75%,0.3982808022922636,0.4149377593360996,325.0,418.0,0.7250919342041016,0.02070450596511364,0.12325643748044968,0.9421052631578948
max,0.7481012658227848,0.7483702737940026,986.0,1127.0,0.9497218132019043,0.044404663145542145,0.15862365067005157,1.0
