statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.13928897296800044,0.12873331008388306,291.5391923990499,1304.978622327791,0.28108081231556,0.015998080489502207,0.08071862503603065,0.5609085933841493
std,0.13475453490223063,0.11608141226753267,239.71340330111573,147.8356939275826,0.23584004599047065,0.012569900141819322,0.03090595018351945,0.28133268116046967
min,0.0,0.00321285140562249,9.0,711.0,-0.315230131149292,0.001006696023978293,0.023159893229603767,0.016627078384798155
25%,0.033816425120772944,0.028368794326241134,74.0,1231.0,0.08894987404346466,0.005511883646249771,0.05416060984134674,0.33016627078384797
50%,0.09523809523809523,0.09257950530035336,231.0,1314.0,0.25501549243927,0.011942929588258266,0.07793153077363968,0.5558194774346794
75%,0.2223926380368098,0.20579268292682926,458.0,1398.0,0.4781574308872223,0.023691952228546143,0.10329027473926544,0.8218527315914489
max,0.5442105263157895,0.4876712328767123,1008.0,1686.0,0.7952603697776794,0.061754681169986725,0.15817531943321228,1.0
