statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.10042026150765032,0.07475244163684354,148.84766584766584,1360.2825552825552,0.26208609890499374,0.00822878830364839,0.061406514797295635,0.7479067184226889
std,0.13207335690444666,0.11009360111643529,215.06630066786838,164.36438632794463,0.20901056231791132,0.005799065194307723,0.017324221428309274,0.2525580253308594
min,0.0,0.0007513148009015778,4.0,716.0,-0.1248256042599678,0.0011687908554449677,0.02618899568915367,0.017199017199017175
25%,0.0,0.0091324200913242,19.0,1291.0,0.08016469329595566,0.004385953303426504,0.04844341427087784,0.5823095823095823
50%,0.05194805194805195,0.03261675315048184,67.0,1369.0,0.23699599504470825,0.0067351749166846275,0.058044470846652985,0.828009828009828
75%,0.13615023474178403,0.08520179372197309,170.0,1458.0,0.42271432280540466,0.010329416021704674,0.07218896597623825,0.9705159705159705
max,0.6094306049822064,0.5686390532544379,1139.0,1719.0,0.7552197575569153,0.03821175917983055,0.1275283247232437,1.0
