,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
26,expression/pert-prediction-essential-regression,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.697473505532846, 'MSE': 0.007818845985545667, 'MAE': 0.06034052215758959, 'Spearman': 0.23830329814652945, 'Pearson': 0.28706051516183306}",lasso_baseline_random,L2,6.697473505532846,0.007818845985545667,0.06034052215758959,0.23830329814652945,0.28706051516183306,Jurkat
24,expression/pert-prediction-essential-regression,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 5.350250527413743, 'MSE': 0.005322537766171536, 'MAE': 0.049446722749798874, 'Spearman': 0.5731694907746376, 'Pearson': 0.7076070131282337}",lasso_baseline_pca,L2,5.350250527413743,0.005322537766171536,0.049446722749798874,0.5731694907746376,0.7076070131282337,hTERT-RPE1
31,expression/pert-prediction-essential-regression,hTERT-RPE1.1,"{'primary_metric': 'L2', 'L2': 7.295535510593515, 'MSE': 0.009050860413250672, 'MAE': 0.06322545127445868, 'Spearman': 0.45075192919784984, 'Pearson': 0.5652695833189701}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.295535510593515,0.009050860413250672,0.06322545127445868,0.45075192919784984,0.5652695833189701,hTERT-RPE1
29,expression/pert-prediction-essential-regression,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 7.3450478570736575, 'MSE': 0.008879830446170302, 'MAE': 0.06338434167885508, 'Spearman': 0.45958983381289703, 'Pearson': 0.5684474238049567}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.3450478570736575,0.008879830446170302,0.06338434167885508,0.45958983381289703,0.5684474238049567,hTERT-RPE1
28,expression/pert-prediction-essential-regression,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 7.885044692175608, 'MSE': 0.010210109437608967, 'MAE': 0.06763195752827851, 'Spearman': 0.4148379519960014, 'Pearson': 0.52331978532022}",knn_baseline_random,L2,7.885044692175608,0.010210109437608967,0.06763195752827851,0.4148379519960014,0.52331978532022,hTERT-RPE1
33,expression/pert-prediction-essential-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 4.804131746138758, 'MSE': 0.0038712566747349, 'MAE': 0.04314622955749188, 'Spearman': 0.27955994311909593, 'Pearson': 0.33724909050999635}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,4.804131746138758,0.0038712566747349,0.04314622955749188,0.27955994311909593,0.33724909050999635,K-562
27,expression/pert-prediction-essential-regression,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 7.950760113430642, 'MSE': 0.010585437103394643, 'MAE': 0.06768892048001851, 'Spearman': 0.4280317094044187, 'Pearson': 0.5266960062545442}",lasso_baseline_random,L2,7.950760113430642,0.010585437103394643,0.06768892048001851,0.4280317094044187,0.5266960062545442,hTERT-RPE1
26,expression/pert-prediction-essential-regression,Hep-G2.1,"{'primary_metric': 'L2', 'L2': 5.485804590248556, 'MSE': 0.005474242320786405, 'MAE': 0.05128427080102828, 'Spearman': 0.4943580982513421, 'Pearson': 0.5983118183459447}",lasso_baseline_pca,L2,5.485804590248556,0.005474242320786405,0.05128427080102828,0.4943580982513421,0.5983118183459447,Hep-G2
30,expression/pert-prediction-essential-regression,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.048379050431456, 'MSE': 0.006496606884741642, 'MAE': 0.055625508316398356, 'Spearman': 0.32290030081649734, 'Pearson': 0.405430234504581}",knn_baseline_pca,L2,6.048379050431456,0.006496606884741642,0.055625508316398356,0.32290030081649734,0.405430234504581,Jurkat
29,expression/pert-prediction-essential-regression,Jurkat.0,"{'primary_metric': 'L2', 'L2': 6.051548434113396, 'MSE': 0.006553934732284952, 'MAE': 0.055609625148564455, 'Spearman': 0.344821945902064, 'Pearson': 0.43155401226073437}",knn_baseline_pca,L2,6.051548434113396,0.006553934732284952,0.055609625148564455,0.344821945902064,0.43155401226073437,Jurkat
32,expression/pert-prediction-essential-regression,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 6.616037579994406, 'MSE': 0.007458603456248508, 'MAE': 0.0581851094470381, 'Spearman': 0.499045241571259, 'Pearson': 0.6253476847238173}",knn_baseline_pca,L2,6.616037579994406,0.007458603456248508,0.0581851094470381,0.499045241571259,0.6253476847238173,hTERT-RPE1
31,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 5.706949737491028, 'MSE': 0.006435266270845516, 'MAE': 0.05356955873736646, 'Spearman': 0.4274064005947277, 'Pearson': 0.5308604924346984}",lasso_baseline_pca,L2,5.706949737491028,0.006435266270845516,0.05356955873736646,0.4274064005947277,0.5308604924346984,Jurkat
33,expression/pert-prediction-essential-regression,Hep-G2.4,"{'primary_metric': 'L2', 'L2': 6.809502308327639, 'MSE': 0.007595660762808899, 'MAE': 0.06126890957569434, 'Spearman': 0.3145062885412362, 'Pearson': 0.3851508362161977}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,6.809502308327639,0.007595660762808899,0.06126890957569434,0.3145062885412362,0.3851508362161977,Hep-G2
35,expression/pert-prediction-essential-regression,hTERT-RPE1.0,"{'primary_metric': 'L2', 'L2': 7.260911320240728, 'MSE': 0.008731312755597841, 'MAE': 0.063192308487533, 'Spearman': 0.45524143802079026, 'Pearson': 0.5703164158319066}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.260911320240728,0.008731312755597841,0.063192308487533,0.45524143802079026,0.5703164158319066,hTERT-RPE1
35,expression/pert-prediction-essential-regression,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 7.773279978110435, 'MSE': 0.00995581867087402, 'MAE': 0.06628194597683511, 'Spearman': 0.4408329833397251, 'Pearson': 0.5523722057892599}",knn_baseline_random,L2,7.773279978110435,0.00995581867087402,0.06628194597683511,0.4408329833397251,0.5523722057892599,hTERT-RPE1
34,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 6.951826611468812, 'MSE': 0.00865647319005409, 'MAE': 0.06271865747807609, 'Spearman': 0.2324690007422233, 'Pearson': 0.27776033326887134}",lasso_baseline_random,L2,6.951826611468812,0.00865647319005409,0.06271865747807609,0.2324690007422233,0.27776033326887134,Jurkat
35,expression/pert-prediction-essential-regression,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 5.268543209411593, 'MSE': 0.004973973921534095, 'MAE': 0.0486578778878422, 'Spearman': 0.5732470031539534, 'Pearson': 0.7043908596862957}",lasso_baseline_pca,L2,5.268543209411593,0.004973973921534095,0.0486578778878422,0.5732470031539534,0.7043908596862957,hTERT-RPE1
35,expression/pert-prediction-essential-regression,hTERT-RPE1.1,"{'primary_metric': 'L2', 'L2': 7.454313063764563, 'MSE': 0.009430173289487326, 'MAE': 0.06424002943013735, 'Spearman': 0.44502004987078736, 'Pearson': 0.5474146515129402}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.454313063764563,0.009430173289487326,0.06424002943013735,0.44502004987078736,0.5474146515129402,hTERT-RPE1
36,expression/pert-prediction-essential-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.649263744606004, 'MSE': 0.0036220514591525496, 'MAE': 0.041865234210556504, 'Spearman': 0.29438040085262573, 'Pearson': 0.3538625320167925}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,4.649263744606004,0.0036220514591525496,0.041865234210556504,0.29438040085262573,0.3538625320167925,K-562
38,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 6.285069595470093, 'MSE': 0.007348300814293564, 'MAE': 0.0579419083334609, 'Spearman': 0.32918317660064034, 'Pearson': 0.41323800101559127}",knn_baseline_pca,L2,6.285069595470093,0.007348300814293564,0.0579419083334609,0.32918317660064034,0.41323800101559127,Jurkat
37,expression/pert-prediction-essential-regression,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 7.84548197301531, 'MSE': 0.010106944024396516, 'MAE': 0.06724086283946347, 'Spearman': 0.4222832538032983, 'Pearson': 0.5280941683829004}",lasso_baseline_random,L2,7.84548197301531,0.010106944024396516,0.06724086283946347,0.4222832538032983,0.5280941683829004,hTERT-RPE1
35,expression/pert-prediction-essential-regression,Hep-G2.1,"{'primary_metric': 'L2', 'L2': 7.372381470983074, 'MSE': 0.00947458354972751, 'MAE': 0.0655353696381788, 'Spearman': 0.27404105734444506, 'Pearson': 0.3428187814093808}",knn_baseline_random,L2,7.372381470983074,0.00947458354972751,0.0655353696381788,0.27404105734444506,0.3428187814093808,Hep-G2
33,expression/pert-prediction-essential-regression,Jurkat.3,"{'primary_metric': 'L2', 'L2': 6.220872191838584, 'MSE': 0.007379415021488225, 'MAE': 0.05724299617938965, 'Spearman': 0.33957988381222115, 'Pearson': 0.42359558549888504}",knn_baseline_pca,L2,6.220872191838584,0.007379415021488225,0.05724299617938965,0.33957988381222115,0.42359558549888504,Jurkat
35,expression/pert-prediction-essential-regression,Hep-G2.2,"{'primary_metric': 'L2', 'L2': 7.302236510249095, 'MSE': 0.008942607746033393, 'MAE': 0.06452479122827157, 'Spearman': 0.27785346063966226, 'Pearson': 0.3394878969755605}",lasso_baseline_random,L2,7.302236510249095,0.008942607746033393,0.06452479122827157,0.27785346063966226,0.3394878969755605,Hep-G2
36,expression/pert-prediction-essential-regression,Jurkat.4,"{'primary_metric': 'L2', 'L2': 5.228636383191342, 'MSE': 0.004900686203650654, 'MAE': 0.049044746439768555, 'Spearman': 0.44757392131582635, 'Pearson': 0.552133643837594}",lasso_baseline_pca,L2,5.228636383191342,0.004900686203650654,0.049044746439768555,0.44757392131582635,0.552133643837594,Jurkat
42,expression/pert-prediction-essential-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.94284393878928, 'MSE': 0.004179535146847709, 'MAE': 0.044175413030948296, 'Spearman': 0.28085615314304996, 'Pearson': 0.328592024718961}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,4.94284393878928,0.004179535146847709,0.044175413030948296,0.28085615314304996,0.328592024718961,K-562
41,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 6.6819838316979965, 'MSE': 0.008067769678111129, 'MAE': 0.06086700070619344, 'Spearman': 0.2749657323254992, 'Pearson': 0.33741788095538783}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,6.6819838316979965,0.008067769678111129,0.06086700070619344,0.2749657323254992,0.33741788095538783,Jurkat
36,expression/pert-prediction-essential-regression,Jurkat.3,"{'primary_metric': 'L2', 'L2': 7.048401240206955, 'MSE': 0.009029310655276523, 'MAE': 0.06338441319070598, 'Spearman': 0.21376819932297766, 'Pearson': 0.2631741317312908}",knn_baseline_random,L2,7.048401240206955,0.009029310655276523,0.06338441319070598,0.21376819932297766,0.2631741317312908,Jurkat
39,expression/pert-prediction-essential-regression,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.537857222336051, 'MSE': 0.007418296676244265, 'MAE': 0.059222922513075385, 'Spearman': 0.2655142452424892, 'Pearson': 0.3212038647122985}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,6.537857222336051,0.007418296676244265,0.059222922513075385,0.2655142452424892,0.3212038647122985,Jurkat
41,expression/pert-prediction-essential-regression,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 7.262196692747585, 'MSE': 0.008735014414899385, 'MAE': 0.06341993196433621, 'Spearman': 0.4421495845204217, 'Pearson': 0.5616465818968421}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.262196692747585,0.008735014414899385,0.06341993196433621,0.4421495845204217,0.5616465818968421,hTERT-RPE1
39,expression/pert-prediction-essential-regression,Jurkat.4,"{'primary_metric': 'L2', 'L2': 6.679086507912067, 'MSE': 0.007748914216677335, 'MAE': 0.05995639401199422, 'Spearman': 0.23468478361323997, 'Pearson': 0.2807620213712967}",lasso_baseline_random,L2,6.679086507912067,0.007748914216677335,0.05995639401199422,0.23468478361323997,0.2807620213712967,Jurkat
38,expression/pert-prediction-essential-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 3.767039480132778, 'MSE': 0.0023925605792286826, 'MAE': 0.03503299024150085, 'Spearman': 0.4596286677372321, 'Pearson': 0.5552585678308324}",lasso_baseline_pca,L2,3.767039480132778,0.0023925605792286826,0.03503299024150085,0.4596286677372321,0.5552585678308324,K-562
39,expression/pert-prediction-essential-regression,Hep-G2.2,"{'primary_metric': 'L2', 'L2': 6.2522572658465965, 'MSE': 0.006570931616684841, 'MAE': 0.05673362657248948, 'Spearman': 0.3822474579778125, 'Pearson': 0.4633843734701897}",knn_baseline_pca,L2,6.2522572658465965,0.006570931616684841,0.05673362657248948,0.3822474579778125,0.4633843734701897,Hep-G2
38,expression/pert-prediction-essential-regression,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 7.488402915970374, 'MSE': 0.009519204881157862, 'MAE': 0.0647482714462999, 'Spearman': 0.44158763800240913, 'Pearson': 0.5420036091701427}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.488402915970374,0.009519204881157862,0.0647482714462999,0.44158763800240913,0.5420036091701427,hTERT-RPE1
41,expression/pert-prediction-essential-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 5.04651973647893, 'MSE': 0.004345791430111184, 'MAE': 0.04490829507033379, 'Spearman': 0.21399700753947437, 'Pearson': 0.2529959057702886}",lasso_baseline_random,L2,5.04651973647893,0.004345791430111184,0.04490829507033379,0.21399700753947437,0.2529959057702886,K-562
41,expression/pert-prediction-essential-regression,Hep-G2.3,"{'primary_metric': 'L2', 'L2': 5.5149499382138005, 'MSE': 0.005357586310468577, 'MAE': 0.051465349013905405, 'Spearman': 0.48714857448943477, 'Pearson': 0.587227790785817}",lasso_baseline_pca,L2,5.5149499382138005,0.005357586310468577,0.051465349013905405,0.48714857448943477,0.587227790785817,Hep-G2
44,expression/pert-prediction-essential-regression,Jurkat.0,"{'primary_metric': 'L2', 'L2': 6.440259113096882, 'MSE': 0.0071884642283292725, 'MAE': 0.05852435812362169, 'Spearman': 0.2919031236748495, 'Pearson': 0.35376071388903424}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,6.440259113096882,0.0071884642283292725,0.05852435812362169,0.2919031236748495,0.35376071388903424,Jurkat
43,expression/pert-prediction-essential-regression,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.736693721360548, 'MSE': 0.0078859053884569, 'MAE': 0.06072589811880628, 'Spearman': 0.22459772356319305, 'Pearson': 0.27531501228987426}",knn_baseline_random,L2,6.736693721360548,0.0078859053884569,0.06072589811880628,0.22459772356319305,0.27531501228987426,Jurkat
41,expression/pert-prediction-essential-regression,Hep-G2.1,"{'primary_metric': 'L2', 'L2': 7.341799456363434, 'MSE': 0.009380083620749238, 'MAE': 0.06524256154273961, 'Spearman': 0.2847270280716127, 'Pearson': 0.35033221064841963}",lasso_baseline_random,L2,7.341799456363434,0.009380083620749238,0.06524256154273961,0.2847270280716127,0.35033221064841963,Hep-G2
