,dataset,fold,metrics,name,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,roc_auc,average_precision,cell_line,quantile
76,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.3979976177215576, 'recall': 0.4761226177215576, 'precision': 0.4059447646141052, 'f1_classwise': 0.36329448223114014, 'f1_score_nans_are_zeros': 0.35466355085372925, 'primary_metric': 'f1_score'}",GenotypeVAE_(D=256),0.3979976177215576,0.4761226177215576,0.4059447646141052,0.36329448223114014,0.35466355085372925,f1_score,,,Jurkat,
77,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.3707107603549957, 'recall': 0.41501545906066895, 'precision': 0.38842684030532837, 'f1_classwise': 0.33276087045669556, 'f1_score_nans_are_zeros': 0.32859331369400024, 'primary_metric': 'f1_score'}",ESM2_(D=1280),0.3707107603549957,0.41501545906066895,0.38842684030532837,0.33276087045669556,0.32859331369400024,f1_score,,,Jurkat,
78,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.3595331311225891, 'recall': 0.4085148572921753, 'precision': 0.38567566871643066, 'f1_classwise': 0.322313517332077, 'f1_score_nans_are_zeros': 0.31845250725746155, 'primary_metric': 'f1_score'}",AIDOprot_seq+struct_(D=1024),0.3595331311225891,0.4085148572921753,0.38567566871643066,0.322313517332077,0.31845250725746155,f1_score,,,Jurkat,
42,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.43697336316108704, 'recall': 0.5583738684654236, 'precision': 0.43678855895996094, 'f1_classwise': 0.4058792293071747, 'f1_score_nans_are_zeros': 0.3914637267589569, 'primary_metric': 'f1_score'}",GNN_Simple_Official_(D=256),0.43697336316108704,0.5583738684654236,0.43678855895996094,0.4058792293071747,0.3914637267589569,f1_score,,,Hep-G2,
41,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.38080909848213196, 'recall': 0.46048134565353394, 'precision': 0.39985203742980957, 'f1_classwise': 0.36180445551872253, 'f1_score_nans_are_zeros': 0.35627004504203796, 'primary_metric': 'f1_score'}",KG_WaveGC_G_StringDB_combined_0.0_(D=128),0.38080909848213196,0.46048134565353394,0.39985203742980957,0.36180445551872253,0.35627004504203796,f1_score,,,hTERT-RPE1,
43,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.40289098024368286, 'recall': 0.4716111421585083, 'precision': 0.41423627734184265, 'f1_classwise': 0.3706926107406616, 'f1_score_nans_are_zeros': 0.35965511202812195, 'primary_metric': 'f1_score'}",PCA_Fair_essential_CELL_LINE_controls_(D=128),0.40289098024368286,0.4716111421585083,0.41423627734184265,0.3706926107406616,0.35965511202812195,f1_score,,,Hep-G2,
42,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.3385925889015198, 'recall': 0.36825472116470337, 'precision': 0.3629441559314728, 'f1_classwise': 0.3191474378108978, 'f1_score_nans_are_zeros': 0.31623607873916626, 'primary_metric': 'f1_score'}",AIDOdna_(D=4352),0.3385925889015198,0.36825472116470337,0.3629441559314728,0.3191474378108978,0.31623607873916626,f1_score,,,hTERT-RPE1,
41,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.3677990138530731, 'recall': 0.42059406638145447, 'precision': 0.3763647973537445, 'f1_classwise': 0.35679829120635986, 'f1_score_nans_are_zeros': 0.35319656133651733, 'primary_metric': 'f1_score'}",AIDOcell_10M_essential_CELL_LINE_2025_11_26_(D=256),0.3677990138530731,0.42059406638145447,0.3763647973537445,0.35679829120635986,0.35319656133651733,f1_score,,,K-562,
79,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.37391334772109985, 'recall': 0.4145849049091339, 'precision': 0.3885350227355957, 'f1_classwise': 0.3359696567058563, 'f1_score_nans_are_zeros': 0.3316194415092468, 'primary_metric': 'f1_score'}",RAG-16B_Human_Protein_Embedding_without_structure_mean_pooled_(D=2304),0.37391334772109985,0.4145849049091339,0.3885350227355957,0.3359696567058563,0.3316194415092468,f1_score,,,Jurkat,
44,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.381258100271225, 'recall': 0.42764800786972046, 'precision': 0.39539313316345215, 'f1_classwise': 0.3486316502094269, 'f1_score_nans_are_zeros': 0.3404718339443207, 'primary_metric': 'f1_score'}",AIDOcell_3M_essential_CELL_LINE_2025_11_26_(D=128),0.381258100271225,0.42764800786972046,0.39539313316345215,0.3486316502094269,0.3404718339443207,f1_score,,,Hep-G2,
43,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.37184399366378784, 'recall': 0.4293411076068878, 'precision': 0.38763996958732605, 'f1_classwise': 0.3522326946258545, 'f1_score_nans_are_zeros': 0.3476727604866028, 'primary_metric': 'f1_score'}",RAG-16B_Human_Protein_Embedding_with_structure_mean_pooled_(D=2304),0.37184399366378784,0.4293411076068878,0.38763996958732605,0.3522326946258545,0.3476727604866028,f1_score,,,hTERT-RPE1,
45,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.42407751083374023, 'recall': 0.5122610926628113, 'precision': 0.42647790908813477, 'f1_classwise': 0.39327624440193176, 'f1_score_nans_are_zeros': 0.3802366554737091, 'primary_metric': 'f1_score'}",GenotypeVAE_(D=256),0.42407751083374023,0.5122610926628113,0.42647790908813477,0.39327624440193176,0.3802366554737091,f1_score,,,Hep-G2,
42,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.37638232111930847, 'recall': 0.44706809520721436, 'precision': 0.3816520869731903, 'f1_classwise': 0.36553755402565, 'f1_score_nans_are_zeros': 0.3616727888584137, 'primary_metric': 'f1_score'}",ESM2_(D=1280),0.37638232111930847,0.44706809520721436,0.3816520869731903,0.36553755402565,0.3616727888584137,f1_score,,,K-562,
80,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.4043942987918854, 'recall': 0.47430455684661865, 'precision': 0.4084109365940094, 'f1_classwise': 0.3690621852874756, 'f1_score_nans_are_zeros': 0.3604539930820465, 'primary_metric': 'f1_score'}",scGenePT_GO_CC_(D=1536),0.4043942987918854,0.47430455684661865,0.4084109365940094,0.3690621852874756,0.3604539930820465,f1_score,,,Jurkat,
