,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
100,expression/pert_prediction_tahoe_deg,CVCL_0546.2,"{'f1_score': 0.4599229395389557, 'recall': 0.4831305146217346, 'precision': 0.4829581379890442, 'f1_classwise': 0.3565511703491211, 'f1_score_nans_are_zeros': 0.32583585381507874, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_sum,,,0.4599229395389557,0.4831305146217346,0.4829581379890442,0.3565511703491211,0.32583585381507874,f1_score,CVCL_0546,
117,expression/pert_prediction_tahoe_deg,CVCL_1055.1,"{'f1_score': 0.5408567786216736, 'recall': 0.5515617728233337, 'precision': 0.5561143159866333, 'f1_classwise': 0.35118260979652405, 'f1_score_nans_are_zeros': 0.3205205500125885, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MTR,,,0.5408567786216736,0.5515617728233337,0.5561143159866333,0.35118260979652405,0.3205205500125885,f1_score,CVCL_1055,
98,expression/pert_prediction_tahoe_deg,CVCL_0459.2,"{'f1_score': 0.4968608021736145, 'recall': 0.5180628299713135, 'precision': 0.5082790851593018, 'f1_classwise': 0.3791781961917877, 'f1_score_nans_are_zeros': 0.3429470360279083, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_weighted,,,0.4968608021736145,0.5180628299713135,0.5082790851593018,0.3791781961917877,0.3429470360279083,f1_score,CVCL_0459,
120,expression/pert_prediction_tahoe_deg,CVCL_1056.1,"{'f1_score': 0.5045954585075378, 'recall': 0.5201077461242676, 'precision': 0.520010769367218, 'f1_classwise': 0.3620460033416748, 'f1_score_nans_are_zeros': 0.32425597310066223, 'primary_metric': 'f1_score'}",erg,,,0.5045954585075378,0.5201077461242676,0.520010769367218,0.3620460033416748,0.32425597310066223,f1_score,CVCL_1056,
98,expression/pert_prediction_tahoe_deg,CVCL_1056.2,"{'f1_score': 0.508640706539154, 'recall': 0.5140395760536194, 'precision': 0.5163261294364929, 'f1_classwise': 0.37312355637550354, 'f1_score_nans_are_zeros': 0.34170815348625183, 'primary_metric': 'f1_score'}",gene_targets_confidence_with_pubchem,,,0.508640706539154,0.5140395760536194,0.5163261294364929,0.37312355637550354,0.34170815348625183,f1_score,CVCL_1056,
99,expression/pert_prediction_tahoe_deg,CVCL_1056.2,"{'f1_score': 0.5131104588508606, 'recall': 0.5261046290397644, 'precision': 0.5205429196357727, 'f1_classwise': 0.3869699537754059, 'f1_score_nans_are_zeros': 0.34635069966316223, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_weighted,,,0.5131104588508606,0.5261046290397644,0.5205429196357727,0.3869699537754059,0.34635069966316223,f1_score,CVCL_1056,
99,expression/pert_prediction_tahoe_deg,CVCL_0459.2,"{'f1_score': 0.4618559181690216, 'recall': 0.4914175868034363, 'precision': 0.4949832260608673, 'f1_classwise': 0.3434359133243561, 'f1_score_nans_are_zeros': 0.3120579719543457, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_weighted,,,0.4618559181690216,0.4914175868034363,0.4949832260608673,0.3434359133243561,0.3120579719543457,f1_score,CVCL_0459,
92,expression/pert_prediction_tahoe_deg,CVCL_1094.2,"{'f1_score': 0.5619086027145386, 'recall': 0.5878047347068787, 'precision': 0.6002889275550842, 'f1_classwise': 0.3439542353153229, 'f1_score_nans_are_zeros': 0.30933037400245667, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_weighted,,,0.5619086027145386,0.5878047347068787,0.6002889275550842,0.3439542353153229,0.30933037400245667,f1_score,CVCL_1094,
101,expression/pert_prediction_tahoe_deg,CVCL_1094.1,"{'f1_score': 0.608924388885498, 'recall': 0.6171935796737671, 'precision': 0.6235036253929138, 'f1_classwise': 0.35199251770973206, 'f1_score_nans_are_zeros': 0.323170006275177, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MTR,,,0.608924388885498,0.6171935796737671,0.6235036253929138,0.35199251770973206,0.323170006275177,f1_score,CVCL_1094,
93,expression/pert_prediction_tahoe_deg,CVCL_1094.2,"{'f1_score': 0.6003437638282776, 'recall': 0.6023234128952026, 'precision': 0.6043443083763123, 'f1_classwise': 0.3647330701351166, 'f1_score_nans_are_zeros': 0.3393228054046631, 'primary_metric': 'f1_score'}",gene_targets_binary_with_pubchem,,,0.6003437638282776,0.6023234128952026,0.6043443083763123,0.3647330701351166,0.3393228054046631,f1_score,CVCL_1094,
102,expression/pert_prediction_tahoe_deg,CVCL_1094.1,"{'f1_score': 0.6318382620811462, 'recall': 0.6388640999794006, 'precision': 0.637608528137207, 'f1_classwise': 0.37663957476615906, 'f1_score_nans_are_zeros': 0.34281522035598755, 'primary_metric': 'f1_score'}",avalon,,,0.6318382620811462,0.6388640999794006,0.637608528137207,0.37663957476615906,0.34281522035598755,f1_score,CVCL_1094,
86,expression/pert_prediction_tahoe_deg,CVCL_1125.2,"{'f1_score': 0.7450947761535645, 'recall': 0.7472342848777771, 'precision': 0.7471306920051575, 'f1_classwise': 0.36621081829071045, 'f1_score_nans_are_zeros': 0.33792945742607117, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_concat,,,0.7450947761535645,0.7472342848777771,0.7471306920051575,0.36621081829071045,0.33792945742607117,f1_score,CVCL_1125,
101,expression/pert_prediction_tahoe_deg,CVCL_1098.1,"{'f1_score': 0.6685646176338196, 'recall': 0.6761953234672546, 'precision': 0.6739076375961304, 'f1_classwise': 0.3981803357601166, 'f1_score_nans_are_zeros': 0.35139918327331543, 'primary_metric': 'f1_score'}",MiniMol,,,0.6685646176338196,0.6761953234672546,0.6739076375961304,0.3981803357601166,0.35139918327331543,f1_score,CVCL_1098,
88,expression/pert_prediction_tahoe_deg,CVCL_1098.2,"{'f1_score': 0.5630335211753845, 'recall': 0.5928022265434265, 'precision': 0.6001380681991577, 'f1_classwise': 0.3385077714920044, 'f1_score_nans_are_zeros': 0.3093356192111969, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_weighted,,,0.5630335211753845,0.5928022265434265,0.6001380681991577,0.3385077714920044,0.3093356192111969,f1_score,CVCL_1098,
100,expression/pert_prediction_tahoe_deg,CVCL_1119.1,"{'f1_score': 0.542125940322876, 'recall': 0.5545597672462463, 'precision': 0.5564910769462585, 'f1_classwise': 0.3599354326725006, 'f1_score_nans_are_zeros': 0.3250807523727417, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MTR,,,0.542125940322876,0.5545597672462463,0.5564910769462585,0.3599354326725006,0.3250807523727417,f1_score,CVCL_1119,
90,expression/pert_prediction_tahoe_deg,CVCL_1381.2,"{'f1_score': 0.5524986982345581, 'recall': 0.5652755498886108, 'precision': 0.5599895715713501, 'f1_classwise': 0.3827615976333618, 'f1_score_nans_are_zeros': 0.3415036201477051, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_weighted,,,0.5524986982345581,0.5652755498886108,0.5599895715713501,0.3827615976333618,0.3415036201477051,f1_score,CVCL_1381,
88,expression/pert_prediction_tahoe_deg,CVCL_1285.2,"{'f1_score': 0.5295398235321045, 'recall': 0.5343652367591858, 'precision': 0.5409970879554749, 'f1_classwise': 0.3990185260772705, 'f1_score_nans_are_zeros': 0.36468493938446045, 'primary_metric': 'f1_score'}",gene_targets_confidence_name_only,,,0.5295398235321045,0.5343652367591858,0.5409970879554749,0.3990185260772705,0.36468493938446045,f1_score,CVCL_1285,
102,expression/pert_prediction_tahoe_deg,CVCL_1097.1,"{'f1_score': 0.5703142881393433, 'recall': 0.5848105549812317, 'precision': 0.5853428244590759, 'f1_classwise': 0.3582451045513153, 'f1_score_nans_are_zeros': 0.32405757904052734, 'primary_metric': 'f1_score'}",ChemBERTa-77M-MLM,,,0.5703142881393433,0.5848105549812317,0.5853428244590759,0.3582451045513153,0.32405757904052734,f1_score,CVCL_1097,
87,expression/pert_prediction_tahoe_deg,CVCL_1125.2,"{'f1_score': 0.7087873816490173, 'recall': 0.7056726217269897, 'precision': 0.7384253144264221, 'f1_classwise': 0.3318636119365692, 'f1_score_nans_are_zeros': 0.3135301470756531, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_concat,,,0.7087873816490173,0.7056726217269897,0.7384253144264221,0.3318636119365692,0.3135301470756531,f1_score,CVCL_1125,
87,expression/pert_prediction_tahoe_deg,CVCL_1097.2,"{'f1_score': 0.548603355884552, 'recall': 0.569693922996521, 'precision': 0.5592799782752991, 'f1_classwise': 0.38253846764564514, 'f1_score_nans_are_zeros': 0.3438356816768646, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_sum,,,0.548603355884552,0.569693922996521,0.5592799782752991,0.38253846764564514,0.3438356816768646,f1_score,CVCL_1097,
99,expression/pert_prediction_tahoe_deg,CVCL_1125.1,"{'f1_score': 0.7825848460197449, 'recall': 0.7957600951194763, 'precision': 0.7872108817100525, 'f1_classwise': 0.38391661643981934, 'f1_score_nans_are_zeros': 0.3395029902458191, 'primary_metric': 'f1_score'}",maccs,,,0.7825848460197449,0.7957600951194763,0.7872108817100525,0.38391661643981934,0.3395029902458191,f1_score,CVCL_1125,
