,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
316,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.9613780597944874, 'MSE': 0.0033017138003139683, 'MAE': 0.017344335341431774, 'Spearman': 0.2208973757386015, 'Pearson': 0.46421480070847515}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640),L2,3.9613780597944874,0.0033017138003139683,0.017344335341431774,0.2208973757386015,0.46421480070847515,K-562
317,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.97641076522032, 'MSE': 0.0033312447979710453, 'MAE': 0.01739061249551624, 'Spearman': 0.22113873346437632, 'Pearson': 0.4597144891880018}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_concatenated_(D=4992),L2,3.97641076522032,0.0033312447979710453,0.01739061249551624,0.22113873346437632,0.4597144891880018,K-562
317,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.122338059746666, 'MSE': 0.0038593046132401176, 'MAE': 0.018210339302704118, 'Spearman': 0.20791034939732156, 'Pearson': 0.3546710787914084}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_concatenated_(D=4992),L2,4.122338059746666,0.0038593046132401176,0.018210339302704118,0.20791034939732156,0.3546710787914084,K-562
318,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.126282950127158, 'MSE': 0.0038620183118088882, 'MAE': 0.01822655039833258, 'Spearman': 0.20804390893640345, 'Pearson': 0.35237819003881354}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640),L2,4.126282950127158,0.0038620183118088882,0.01822655039833258,0.20804390893640345,0.35237819003881354,K-562
318,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.564918279438061, 'MSE': 0.005371114234585813, 'MAE': 0.02053671177311074, 'Spearman': 0.23440479487384835, 'Pearson': 0.49841122915517083}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_concatenated_(D=4992),L2,4.564918279438061,0.005371114234585813,0.02053671177311074,0.23440479487384835,0.49841122915517083,K-562
319,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.543848089968799, 'MSE': 0.005367339613615504, 'MAE': 0.020501434479227563, 'Spearman': 0.23406864154670412, 'Pearson': 0.5057035936606441}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640),L2,4.543848089968799,0.005367339613615504,0.020501434479227563,0.23406864154670412,0.5057035936606441,K-562
319,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.731597914743757, 'MSE': 0.005074271755851819, 'MAE': 0.021193665308402353, 'Spearman': 0.2987817371092604, 'Pearson': 0.554130414246467}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_concatenated_(D=4992),L2,4.731597914743757,0.005074271755851819,0.021193665308402353,0.2987817371092604,0.554130414246467,K-562
319,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.030503593694748, 'MSE': 0.0038279028175760422, 'MAE': 0.018010771838443497, 'Spearman': 0.2386564245770531, 'Pearson': 0.4712152571302431}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_concatenated_(D=4992),L2,4.030503593694748,0.0038279028175760422,0.018010771838443497,0.2386564245770531,0.4712152571302431,K-562
320,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.126306426498151, 'MSE': 0.0038615858816173536, 'MAE': 0.018226397347253467, 'Spearman': 0.20804390893640345, 'Pearson': 0.3523037053182215}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_pca_concatenated_(D=200),L2,4.126306426498151,0.0038615858816173536,0.018226397347253467,0.20804390893640345,0.3523037053182215,K-562
320,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.012737737939243, 'MSE': 0.003782936934523731, 'MAE': 0.017969320228341367, 'Spearman': 0.23842936561101766, 'Pearson': 0.4723634829982323}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_pca_concatenated_(D=200),L2,4.012737737939243,0.003782936934523731,0.017969320228341367,0.23842936561101766,0.4723634829982323,K-562
320,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.754529834302214, 'MSE': 0.005103026973322669, 'MAE': 0.02126080652322954, 'Spearman': 0.2972895308710777, 'Pearson': 0.548180845447921}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_pca_concatenated_(D=200),L2,4.754529834302214,0.005103026973322669,0.02126080652322954,0.2972895308710777,0.548180845447921,K-562
320,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.543848089968799, 'MSE': 0.005367339613615504, 'MAE': 0.020501434479227563, 'Spearman': 0.23406864154670412, 'Pearson': 0.5057035936606441}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_pca_concatenated_(D=200),L2,4.543848089968799,0.005367339613615504,0.020501434479227563,0.23406864154670412,0.5057035936606441,K-562
321,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.543848089968799, 'MSE': 0.005367339613615504, 'MAE': 0.020501434479227563, 'Spearman': 0.23406864154670412, 'Pearson': 0.5057035936606441}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_pca_concatenated_(D=200),L2,4.543848089968799,0.005367339613615504,0.020501434479227563,0.23406864154670412,0.5057035936606441,K-562
321,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.019289269675117, 'MSE': 0.0037859452740298897, 'MAE': 0.01800705727709499, 'Spearman': 0.23820931549397892, 'Pearson': 0.47323835631352346}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_KG_WaveGC_G_StringDB_combined_0.0_(D=128)_concatenated_(D=768),L2,4.019289269675117,0.0037859452740298897,0.01800705727709499,0.23820931549397892,0.47323835631352346,K-562
321,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.748298591578612, 'MSE': 0.005088221756618981, 'MAE': 0.021249419082405435, 'Spearman': 0.296661833431157, 'Pearson': 0.5504483097941127}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_KG_WaveGC_G_StringDB_combined_0.0_(D=128)_concatenated_(D=768),L2,4.748298591578612,0.005088221756618981,0.021249419082405435,0.296661833431157,0.5504483097941127,K-562
322,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.547037221855779, 'MSE': 0.005364506425607178, 'MAE': 0.020515318890544865, 'Spearman': 0.23348015187730273, 'Pearson': 0.5046466663123643}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_KG_WaveGC_G_StringDB_combined_0.0_(D=128)_concatenated_(D=768),L2,4.547037221855779,0.005364506425607178,0.020515318890544865,0.23348015187730273,0.5046466663123643,K-562
