,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
15,expression/pert_prediction_sciplex3_deg,MCF7.4,"{'f1_score': 0.6719868183135986, 'recall': 0.6752986311912537, 'precision': 0.6742819547653198, 'f1_classwise': 0.3870551586151123, 'f1_score_nans_are_zeros': 0.34304648637771606, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.6719868183135986,0.6752986311912537,0.6742819547653198,0.3870551586151123,0.34304648637771606,f1_score,MCF7,
17,expression/pert_prediction_sciplex3_deg,MCF7.0,"{'roc_auc': 0.21273085474967957, 'average_precision': 0.6918415427207947, 'f1_score': 0.6754669547080994, 'recall': 0.6918415427207947, 'precision': 0.6619120836257935, 'f1_classwise': 0.32122400403022766, 'f1_score_nans_are_zeros': 0.32122403383255005, 'primary_metric': 'f1_score'}",prior,0.21273085474967957,0.6918415427207947,0.6754669547080994,0.6918415427207947,0.6619120836257935,0.32122400403022766,0.32122403383255005,f1_score,MCF7,
16,expression/pert_prediction_sciplex3_deg,A549.0,"{'roc_auc': 0.14530213177204132, 'average_precision': 0.7860140204429626, 'f1_score': 0.7793366312980652, 'recall': 0.7860140204429626, 'precision': 0.7733640074729919, 'f1_classwise': 0.32857561111450195, 'f1_score_nans_are_zeros': 0.32857561111450195, 'primary_metric': 'f1_score'}",no_change,0.14530213177204132,0.7860140204429626,0.7793366312980652,0.7860140204429626,0.7733640074729919,0.32857561111450195,0.32857561111450195,f1_score,A549,
18,expression/pert_prediction_sciplex3_deg,MCF7.0,"{'roc_auc': 0.21273085474967957, 'average_precision': 0.6918415427207947, 'f1_score': 0.6754669547080994, 'recall': 0.6918415427207947, 'precision': 0.6619120836257935, 'f1_classwise': 0.32122400403022766, 'f1_score_nans_are_zeros': 0.32122403383255005, 'primary_metric': 'f1_score'}",most_frequent,0.21273085474967957,0.6918415427207947,0.6754669547080994,0.6918415427207947,0.6619120836257935,0.32122400403022766,0.32122403383255005,f1_score,MCF7,
19,expression/pert_prediction_sciplex3_deg,MCF7.0,"{'roc_auc': 0.21273085474967957, 'average_precision': 0.6918415427207947, 'f1_score': 0.6754669547080994, 'recall': 0.6918415427207947, 'precision': 0.6619120836257935, 'f1_classwise': 0.32122400403022766, 'f1_score_nans_are_zeros': 0.32122403383255005, 'primary_metric': 'f1_score'}",no_change,0.21273085474967957,0.6918415427207947,0.6754669547080994,0.6918415427207947,0.6619120836257935,0.32122400403022766,0.32122403383255005,f1_score,MCF7,
16,expression/pert_prediction_sciplex3_deg,MCF7.1,"{'roc_auc': 0.18949256837368011, 'average_precision': 0.725381076335907, 'f1_score': 0.7121537327766418, 'recall': 0.725381076335907, 'precision': 0.7010743021965027, 'f1_classwise': 0.3234671950340271, 'f1_score_nans_are_zeros': 0.3234672248363495, 'primary_metric': 'f1_score'}",no_change,0.18949256837368011,0.725381076335907,0.7121537327766418,0.725381076335907,0.7010743021965027,0.3234671950340271,0.3234672248363495,f1_score,MCF7,
16,expression/pert_prediction_sciplex3_deg,K562.0,"{'roc_auc': 0.08749327808618546, 'average_precision': 0.8691501617431641, 'f1_score': 0.8648477792739868, 'recall': 0.8691501617431641, 'precision': 0.8609600067138672, 'f1_classwise': 0.33044010400772095, 'f1_score_nans_are_zeros': 0.33044010400772095, 'primary_metric': 'f1_score'}",no_change,0.08749327808618546,0.8691501617431641,0.8648477792739868,0.8691501617431641,0.8609600067138672,0.33044010400772095,0.33044010400772095,f1_score,K562,
16,expression/pert_prediction_sciplex3_deg,A549.1,"{'roc_auc': 0.12442171573638916, 'average_precision': 0.817383885383606, 'f1_score': 0.8122993111610413, 'recall': 0.817383885383606, 'precision': 0.8076966404914856, 'f1_classwise': 0.329641193151474, 'f1_score_nans_are_zeros': 0.3296411633491516, 'primary_metric': 'f1_score'}",no_change,0.12442171573638916,0.817383885383606,0.8122993111610413,0.817383885383606,0.8076966404914856,0.329641193151474,0.3296411633491516,f1_score,A549,
16,expression/pert_prediction_sciplex3_deg,K562.1,"{'roc_auc': 0.09197597205638885, 'average_precision': 0.8628115653991699, 'f1_score': 0.8582327365875244, 'recall': 0.8628115653991699, 'precision': 0.8540945053100586, 'f1_classwise': 0.33022382855415344, 'f1_score_nans_are_zeros': 0.33022385835647583, 'primary_metric': 'f1_score'}",no_change,0.09197597205638885,0.8628115653991699,0.8582327365875244,0.8628115653991699,0.8540945053100586,0.33022382855415344,0.33022385835647583,f1_score,K562,
17,expression/pert_prediction_sciplex3_deg,A549.1,"{'roc_auc': 0.12442171573638916, 'average_precision': 0.817383885383606, 'f1_score': 0.8122993111610413, 'recall': 0.817383885383606, 'precision': 0.8076966404914856, 'f1_classwise': 0.329641193151474, 'f1_score_nans_are_zeros': 0.3296411633491516, 'primary_metric': 'f1_score'}",prior,0.12442171573638916,0.817383885383606,0.8122993111610413,0.817383885383606,0.8076966404914856,0.329641193151474,0.3296411633491516,f1_score,A549,
