statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.2607749225172078,0.1960809866831295,423.0735815602837,193.7712765957447,0.26697806932195894,0.018791297969989584,0.056455620676807476,0.5562943262411346
std,0.19066292812898114,0.20851421387611577,180.38379888554843,135.0588980243331,0.20688205195068382,0.005524973011778824,0.004455147659782038,0.28768039841499593
min,0.0,0.0,14.0,11.0,-0.4102365970611572,0.00930711068212986,0.039261557161808014,0.0008865248226950229
25%,0.08837209302325581,0.017857142857142856,288.0,69.0,0.13494457304477692,0.016955815255641937,0.05368930846452713,0.32535460992907805
50%,0.21271676300578035,0.0949367088607595,391.0,164.0,0.26677554845809937,0.018473278731107712,0.05648651346564293,0.5895390070921986
75%,0.41721854304635764,0.37388724035608306,528.0,300.0,0.4280252754688263,0.020099706947803497,0.05923089757561684,0.8102836879432624
max,0.6990654205607477,0.6924564796905223,1129.0,643.0,0.7104281783103943,0.1421847641468048,0.09172745048999786,1.0
