statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.3313542131242934,0.25863259071649997,531.9511978704526,266.167701863354,0.3387614617665487,0.010109160661932078,0.039658036215202724,0.62912113651448
std,0.18360928869167914,0.2136352326993556,232.6050065894587,135.86652793886822,0.2248374417115855,0.0018383245810331406,0.002842583169930015,0.2779880552571456
min,0.0,0.0,75.0,12.0,-0.39874812960624695,0.00756109831854701,0.028097642585635185,0.0026619343389530092
25%,0.1653272101033295,0.048484848484848485,365.0,147.0,0.19371074438095093,0.009328904561698437,0.03795012831687927,0.4250221827861579
50%,0.31785714285714284,0.21348314606741572,472.0,259.0,0.36047136783599854,0.009854787960648537,0.039567701518535614,0.6903283052351376
75%,0.49615384615384617,0.4618055555555556,646.0,370.0,0.5110883712768555,0.010487843304872513,0.0412282720208168,0.867790594498669
max,0.6909871244635193,0.6900369003690037,1617.0,652.0,0.7578946352005005,0.0406530387699604,0.05980411916971207,1.0
