statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.30086532843505853,0.22277361189932318,444.38829787234044,203.75531914893617,0.4405538518556001,0.023850087798035418,0.0615493226763363,0.5862286856797948
std,0.16748078972303074,0.18053015457916316,166.28713347437096,108.93711082742192,0.23044515071923866,0.005310322833020903,0.006087775001075404,0.28798900565545926
min,0.0,0.0,24.0,3.0,-0.2675045430660248,0.010620446875691414,0.04206451401114464,0.0008865248226950229
25%,0.14323607427055704,0.044444444444444446,338.0,111.0,0.25558292865753174,0.020616894587874413,0.05728815868496895,0.3608156028368794
50%,0.308411214953271,0.19736842105263158,417.0,199.0,0.46282175183296204,0.023523060604929924,0.061401914805173874,0.6356382978723405
75%,0.4485981308411215,0.39002932551319647,506.0,281.0,0.6489677429199219,0.026440521702170372,0.06548986583948135,0.8333333333333334
max,0.6742596810933941,0.667447306791569,1462.0,599.0,0.8087860345840454,0.12393737584352493,0.08958745747804642,1.0
