statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.27184853715837765,0.1857594062797719,550.6391843971631,209.27659574468086,0.4386611830294838,0.015920745818182192,0.052733930366126995,0.6198804763341884
std,0.15497344587378556,0.15338245619613092,197.0171805462409,115.44892394108737,0.20848756310335517,0.0035534718861316436,0.004381786302493063,0.27747607672736224
min,0.0,0.0,26.0,2.0,-0.4485641121864319,0.008161978796124458,0.04142100363969803,0.0008865248226950229
25%,0.12533333333333332,0.04,422.0,107.0,0.30946388840675354,0.01429741084575653,0.04968949407339096,0.4512411347517731
50%,0.27579162410623087,0.1610738255033557,512.0,205.0,0.4658580720424652,0.015606805682182312,0.05256734415888786,0.677304964539007
75%,0.410958904109589,0.32209737827715357,643.0,305.0,0.6047907471656799,0.01709194853901863,0.05535798519849777,0.8475177304964538
max,0.6032388663967612,0.5560747663551402,1496.0,577.0,0.7916930913925171,0.06747995316982269,0.08152879029512405,1.0
