statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.10019312288521161,0.21028792409518537,423.0735815602837,1897.0647163120568,0.5010042591341433,0.001712525449146216,0.01366636614399427,0.7389420175041497
std,0.09269956490754414,0.09179322862142422,180.38379888554843,100.51951244937739,0.10483914089872413,0.009829686718940828,0.007953752806966143,0.2793527263729431
min,0.0,0.0,14.0,37.0,-0.051990658044815063,0.00008726751548238099,0.003801418002694845,0.0008865248226950229
25%,0.03463203463203463,0.1408,288.0,1885.0,0.43754416704177856,0.0005732940626330674,0.010268766433000565,0.6657801418439716
50%,0.06415094339622641,0.19309262166405022,391.0,1912.0,0.5097113847732544,0.000798347289673984,0.011903693899512291,0.8413120567375887
75%,0.13529411764705881,0.2634920634920635,528.0,1931.0,0.5742529034614563,0.0011444473639130592,0.01424944307655096,0.9459219858156028
max,0.5298651252408478,0.5680203045685279,1129.0,1970.0,0.7457411885261536,0.24731145799160004,0.14606739580631256,1.0
