statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.13205485426507907,0.27157993504544775,550.6391843971631,1924.6914893617022,0.6868755253434763,0.001306633833588963,0.012721474894243193,0.8286885091293195
std,0.12347532974267761,0.10041115913291836,197.0171805462409,62.01454332032065,0.09494988467021175,0.0034063726546130833,0.0063162382422596725,0.25672774623277594
min,0.0,0.014084507042253521,26.0,639.0,0.0356469564139843,0.0001910985738504678,0.005600807722657919,0.0026595744680850686
25%,0.046511627906976744,0.20501022494887525,422.0,1914.0,0.639149010181427,0.0005563664599321783,0.009721101261675358,0.7615248226950355
50%,0.08181818181818182,0.25064599483204136,512.0,1930.0,0.6960117220878601,0.0007270356873050332,0.01114417053759098,0.9645390070921985
75%,0.17572463768115942,0.318298308559713,643.0,1946.0,0.7539333701133728,0.00103635189589113,0.01308994647115469,0.9964539007092199
max,0.7606951871657754,0.7503820682628629,1496.0,1979.0,0.8540763854980469,0.08810948580503464,0.09950686991214752,1.0
