statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.05144339034460134,0.1510482395235917,310.58067375886526,1857.5017730496454,0.3153562886947568,0.002410310835149556,0.017917358943555135,0.6210271427493587
std,0.05632951412762808,0.06060137636595666,117.61611212009441,79.48282250932968,0.13076509865896246,0.002679722908491716,0.005872723652435153,0.2929089600301805
min,0.0,0.0025412960609911056,13.0,722.0,-0.21656949818134308,0.00022271614579949528,0.005349858198314905,0.0017730496453900457
25%,0.019736842105263157,0.10902047592695074,231.0,1824.0,0.23341941833496094,0.001324453973211348,0.014984414912760258,0.4033687943262412
50%,0.032467532467532464,0.1399449035812672,289.0,1866.0,0.32201501727104187,0.0019811000674962997,0.016800779849290848,0.6666666666666667
75%,0.05778894472361809,0.17912856374394837,366.0,1904.0,0.4113905131816864,0.0025094731245189905,0.01893370784819126,0.8865248226950355
max,0.47186574531095754,0.5039205436487193,1013.0,1963.0,0.6901117563247681,0.0457567535340786,0.08997056633234024,1.0
