statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.0805288179681513,0.21187105414590826,444.38829787234044,1876.3351063829787,0.4816383798441566,0.0023812602210468124,0.017101687876629836,0.6529043119058396
std,0.0902810962725262,0.08592873178464364,166.28713347437096,78.6956180014109,0.11392191213848606,0.00568753611398492,0.008416325234859438,0.3194916407018816
min,0.0,0.017793594306049824,24.0,281.0,-0.07076633721590042,0.00013838574523106217,0.004816077183932066,0.0008865248226950229
25%,0.028350515463917526,0.15605427974947808,338.0,1848.0,0.40662235021591187,0.0008992826333269477,0.012754365801811218,0.37234042553191493
50%,0.04602510460251046,0.1956521739130435,417.0,1882.0,0.4943042993545532,0.001278374926187098,0.014769511297345161,0.7632978723404256
75%,0.09312638580931264,0.2405391394504925,506.0,1915.0,0.5656828880310059,0.0021532620303332806,0.018597856163978577,0.950354609929078
max,0.7325581395348837,0.731769505354411,1462.0,1979.0,0.7295852899551392,0.15319037437438965,0.13251544535160065,1.0
