statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.189731407828783,0.1807185724597754,197.6078947368421,217.75,0.38670014816845266,0.006689978256748107,0.05494494666100332,0.749549861495845
std,0.2553163607130343,0.24457944802634266,227.29573784852408,321.91121725437785,0.35474035329688247,0.004440331588082902,0.014513440392689494,0.2382512156831839
min,0.0,0.0,2.0,0.0,-0.23139247298240662,0.0010273491498082876,0.023929061368107796,0.013157894736842146
25%,0.0,0.0,23.0,0.0,0.06287404149770737,0.0039504109881818295,0.04477657750248909,0.5868421052631578
50%,0.016483516483516484,0.0,80.0,15.0,0.3421289324760437,0.0054307240061461926,0.05299598351120949,0.8157894736842105
75%,0.3843137254901961,0.38288288288288286,325.0,406.0,0.7062168121337891,0.007771167438477278,0.06198164075613022,0.9605263157894737
max,0.797338792221085,0.7566964285714286,986.0,1646.0,0.9737948775291443,0.03542672470211983,0.1257651448249817,1.0
