statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.10950457248863123,0.06533892443701558,148.84766584766584,1395.2997542997543,0.2849551206551886,0.004779469123149076,0.043583297163833856,0.5022245833056644
std,0.13297149424443916,0.09986096275798965,215.06630066786838,123.25045019327878,0.22125764876980655,0.004759946091256995,0.016436843503827684,0.28932475237151295
min,0.0,0.0008703220191470844,4.0,1131.0,-0.2729890048503876,0.0009860588470473886,0.022193364799022675,0.002457002457002422
25%,0.0,0.008504606661941885,19.0,1302.0,0.11427504569292068,0.001906714984215796,0.031632278114557266,0.25552825552825553
50%,0.056818181818181816,0.02826379542395693,67.0,1397.0,0.2865986227989197,0.0032094642519950867,0.03938433900475502,0.5036855036855037
75%,0.15789473684210525,0.0681981335247667,170.0,1483.0,0.4350162148475647,0.00571701442822814,0.050484221428632736,0.7542997542997543
max,0.5754633715798765,0.5495841330774153,1139.0,1709.0,0.862470269203186,0.03415892645716667,0.11272253096103668,1.0
