statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.19373102971453407,0.21256109272404522,197.6078947368421,331.3157894736842,0.376999377240243,0.02000843425232329,0.11606477334311134,0.740983379501385
std,0.24345379589900099,0.2394589073238365,227.29573784852408,398.11768889254046,0.35562719200193527,0.013800271234501388,0.01823096754565864,0.23697048383994906
min,0.0,0.0,2.0,11.0,-0.36649733781814575,0.011189060285687447,0.08894047886133194,0.023684210526315752
25%,0.0,0.016260162601626018,23.0,56.0,0.049108460545539856,0.014922083355486393,0.10652435570955276,0.5842105263157895
50%,0.06666666666666667,0.09210526315789473,80.0,176.0,0.31090590357780457,0.016522210091352463,0.1118364930152893,0.8105263157894737
75%,0.3811659192825112,0.38095238095238093,325.0,509.0,0.7199702858924866,0.01937670260667801,0.11947859078645706,0.9473684210526316
max,0.7574206755373593,0.7554890219560878,986.0,1935.0,0.9552021622657776,0.1009640023112297,0.2110176980495453,1.0
