cell_type,contextmean,knn,mlpcontinuous,mlponehot,st
CVCL_0334,0.013,0.014,0.057,0.056,0.032
CVCL_0480,0.008,0.009,0.041,0.04,0.023
CVCL_1097,0.015,0.017,0.066,0.062,0.03
CVCL_1098,0.014,0.018,0.06,0.058,0.035
CVCL_1285,0.013,0.013,0.054,0.053,0.028
