cell_type,contextmean,knn,mlpcontinuous,mlponehot,st
CVCL_0334,0.113,0.1,0.352,0.261,0.215
CVCL_0480,0.168,0.145,0.426,0.331,0.26
CVCL_1097,0.129,0.081,0.497,0.301,0.282
CVCL_1098,0.078,0.051,0.397,0.202,0.183
CVCL_1285,0.196,0.132,0.424,0.272,0.334
