cell_type,contextmean,knn,mlpcontinuous,mlponehot,st
hepg2,0.179,0.121,0.194,0.202,0.19
jurkat,0.153,0.085,0.153,0.16,0.122
k562,0.11,0.1,0.109,0.142,0.129
rpe1,0.298,0.139,0.279,0.268,0.262
