cell_type,contextmean,knn,mlpcontinuous,mlponehot,st
hepg2,0.502,0.657,0.741,0.722,0.75
jurkat,0.502,0.638,0.671,0.657,0.693
k562,0.502,0.748,0.694,0.675,0.711
rpe1,0.502,0.561,0.714,0.691,0.741
