cell_type,contextmean,knn,mlpcontinuous,mlponehot,st
CVCL_0334,0.5,0.739,0.547,0.556,0.859
CVCL_0480,0.5,0.857,0.62,0.629,0.888
CVCL_1097,0.5,0.653,0.585,0.586,0.897
CVCL_1098,0.5,0.621,0.581,0.551,0.751
CVCL_1285,0.5,0.829,0.627,0.62,0.946
