statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.14165731468098194,0.1643465221188071,148.84766584766584,163.28501228501227,0.3059684773648161,0.020585069723463908,0.12839741131670646,0.6747097779038812
std,0.1757777235410569,0.17885765853408916,215.06630066786838,195.70188786198807,0.29261068032557214,0.0037433184199296954,0.008544991999866929,0.27102730204938386
min,0.0,0.0,4.0,6.0,-0.16774556040763855,0.01477892231196165,0.11175186932086945,0.017199017199017175
25%,0.0,0.0,19.0,31.0,0.0510430783033371,0.01799492910504341,0.12236130982637405,0.46191646191646196
50%,0.06382978723404255,0.1,67.0,77.0,0.22693473100662231,0.01961730793118477,0.1266411691904068,0.7272727272727273
75%,0.22413793103448276,0.28019323671497587,170.0,221.0,0.5587905645370483,0.022201918065547943,0.13311767578125,0.9262899262899262
max,0.7285714285714285,0.7271853986551393,1139.0,1041.0,0.9076747298240662,0.045555029064416885,0.16543744504451752,1.0
