statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.1087224361005209,0.1505255160818331,148.84766584766584,284.4742014742015,0.3189475634472824,0.022308413067452737,0.12948194104052294,0.693913032979372
std,0.15524338654034656,0.16396413693886885,215.06630066786838,400.18664204434384,0.29425992639403076,0.011022826588687577,0.01301392826872451,0.26717722833012153
min,0.0,0.0,4.0,11.0,-0.13635575771331787,0.015159286558628082,0.10831505060195923,0.017199017199017175
25%,0.0,0.013513513513513514,19.0,52.0,0.054970867931842804,0.01785285584628582,0.12188916653394699,0.48894348894348894
50%,0.043478260869565216,0.09523809523809523,67.0,122.0,0.2645462453365326,0.019514920189976692,0.12630997598171234,0.7444717444717445
75%,0.14594594594594595,0.23972602739726026,170.0,352.0,0.5718857645988464,0.021901752799749374,0.1324966698884964,0.941031941031941
max,0.665389527458493,0.6779303062302007,1139.0,1930.0,0.9232624769210815,0.09563632309436798,0.21096251904964447,1.0
