statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.49679595739743054,0.48205277130570917,444.38829787234044,484.0921985815603,0.38169658987855193,0.02838040447747665,0.0657208431809348,0.5846308975906646
std,0.13387787727681613,0.14902658843182778,166.28713347437096,83.89209283289128,0.35120381390441285,0.005804609402215494,0.006341030898689611,0.27795349611919135
min,0.0,0.0,24.0,2.0,-0.5561753511428833,0.012394203804433346,0.04370810091495514,0.0008865248226950229
25%,0.402555910543131,0.3891402714932127,338.0,433.0,0.13810811936855316,0.024883629754185677,0.06111782044172287,0.36258865248226946
50%,0.4906015037593985,0.4840989399293286,417.0,486.0,0.48006314039230347,0.028278255835175514,0.06575294584035873,0.6205673758865249
75%,0.5981308411214953,0.5909943714821764,506.0,536.0,0.6810033917427063,0.03169883042573929,0.06965871155261993,0.823581560283688
max,0.7891891891891892,0.7884972170686456,1462.0,916.0,0.853531539440155,0.1252720206975937,0.08874806016683578,1.0
