statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.42567400273731587,0.371480606620522,531.9511978704526,399.547471162378,0.335887896708426,0.011073129392082753,0.04075493772961232,0.6199913552088017
std,0.1459090706782653,0.1957675191983335,232.6050065894587,116.21060691743226,0.20960185132614725,0.001569481747442878,0.002991490110612288,0.2682763374220028
min,0.0,0.0,75.0,17.0,-0.30077415704727173,0.00787367857992649,0.029133159667253494,0.0017746228926353025
25%,0.31721698113207547,0.19666666666666666,365.0,311.0,0.18421030044555664,0.010203185491263866,0.03886697441339493,0.4259094942324756
50%,0.4197183098591549,0.3930635838150289,472.0,390.0,0.3245733380317688,0.010862625204026699,0.04075028747320175,0.6566104702750666
75%,0.5339805825242718,0.5286783042394015,646.0,480.0,0.5061975717544556,0.011671612039208412,0.04246322810649872,0.8589174800354924
max,0.7347560975609756,0.7327586206896551,1617.0,794.0,0.7860282063484192,0.02938411571085453,0.06018514558672905,1.0
