statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.39654707795475014,0.40820537248550914,310.58067375886526,409.40602836879435,0.2771084226190248,0.026053639187424687,0.060097150408814776,0.5808639530204718
std,0.10817403052702393,0.11095170030630035,117.61611212009441,97.19835845543086,0.20965188433006043,0.003938518138912218,0.0038091800328435513,0.28054915840231354
min,0.0,0.0,13.0,12.0,-0.356828898191452,0.013030752539634705,0.04078589752316475,0.0008865248226950229
25%,0.3218390804597701,0.3415384615384615,231.0,352.0,0.12085125595331192,0.02333321049809456,0.05777382478117943,0.35815602836879434
50%,0.3830275229357798,0.39635535307517084,289.0,403.0,0.27175772190093994,0.025889454409480095,0.060203928500413895,0.624113475177305
75%,0.46443514644351463,0.4753747323340471,366.0,459.0,0.4284588098526001,0.02861756645143032,0.06262470781803131,0.8262411347517731
max,0.7427884615384616,0.7494252873563219,1013.0,1023.0,0.7824776768684387,0.05223800241947174,0.07562330365180969,1.0
