statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.423726806114019,0.3500826253023819,550.6391843971631,348.61258865248226,0.4545323212544561,0.0169649390455877,0.05406788798339718,0.6272941187566018
std,0.14537636486041125,0.18721453993446463,197.0171805462409,98.92170055401341,0.22393199994766397,0.0033498476890674016,0.004547445123559556,0.2697890728858014
min,0.0,0.0,26.0,3.0,-0.40376055240631104,0.007772983051836491,0.04090206325054169,0.0008865248226950229
25%,0.30497382198952877,0.1856060606060606,422.0,279.0,0.3078722655773163,0.015178799629211426,0.05088172107934952,0.46453900709219853
50%,0.4423963133640553,0.3853820598006645,512.0,351.0,0.48630574345588684,0.016665233299136162,0.05386516451835632,0.6817375886524824
75%,0.5503355704697986,0.5180722891566265,643.0,416.0,0.6381047368049622,0.018402226269245148,0.05700182542204857,0.8475177304964538
max,0.6778309409888357,0.6598290598290598,1496.0,703.0,0.825191855430603,0.06948379427194595,0.0772993192076683,1.0
