statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.12138907121132592,0.09543018161116071,197.6078947368421,1292.6631578947367,0.2911935182959251,0.01171633936280973,0.07279073211707567,0.6573060941828255
std,0.14696466548784945,0.11553597400458407,227.29573784852408,159.93950772864596,0.2527022793535957,0.008036703481249626,0.02059929506053566,0.28707054355772604
min,0.0,0.0,2.0,721.0,-0.2757871747016907,0.001461290754377842,0.028182227164506912,0.018421052631578894
25%,0.0,0.00980392156862745,23.0,1174.0,0.06305017322301865,0.0065968711860477924,0.05821012705564499,0.4368421052631579
50%,0.05592105263157895,0.03348909657320872,80.0,1289.0,0.25926464796066284,0.008966577239334583,0.06920775026082993,0.7315789473684211
75%,0.2112676056338028,0.15305371596762327,325.0,1417.0,0.5199174284934998,0.013502814806997776,0.0814618319272995,0.9210526315789473
max,0.5578300921187308,0.492221530802738,986.0,1645.0,0.7744025588035583,0.04941448196768761,0.15230676531791687,1.0
