statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.2615538154821796,0.26942095451602566,291.5391923990499,313.3586698337292,0.47693226485144824,0.00922970316177035,0.06020456403847828,0.7411546989692002
std,0.2661752554936406,0.2617288034097785,239.71340330111573,317.5025565733407,0.3857150002421893,0.007736819386340363,0.020808472126244978,0.24239122638198185
min,0.0,0.0,9.0,0.0,-0.5974934697151184,0.0007087098201736808,0.018357938155531883,0.0071258907363420665
25%,0.0,0.0,74.0,7.0,0.15535470843315125,0.0045018005184829235,0.04553213343024254,0.6009501187648456
50%,0.1556420233463035,0.18181818181818182,231.0,245.0,0.5736450552940369,0.007124141324311495,0.05743333324790001,0.8028503562945368
75%,0.5232273838630807,0.5392296718972895,458.0,540.0,0.8260738849639893,0.011522296816110611,0.07190895080566406,0.9524940617577197
max,0.7688492063492064,0.7630769230769231,1008.0,1341.0,0.9708088040351868,0.07363685965538025,0.16446945071220398,1.0
