statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.27860061198297564,0.30602468711094505,291.5391923990499,402.58669833729215,0.4831348513703762,0.028071483167998866,0.13819657574073718,0.7140277926664823
std,0.2526906788921375,0.24579608647620885,239.71340330111573,357.72228549103596,0.3677698519337096,0.01797456004575165,0.01925826440578537,0.2544934050463743
min,0.0,0.0,9.0,22.0,-0.5414260625839233,0.0166667178273201,0.11129069328308105,0.009501187648456089
25%,0.04040404040404041,0.07692307692307693,74.0,145.0,0.20582158863544464,0.020724453032016754,0.12678714096546173,0.5510688836104514
50%,0.17204301075268819,0.23648648648648649,231.0,354.0,0.5568398833274841,0.02336578443646431,0.1333249807357788,0.7790973871733967
75%,0.5478260869565217,0.5634743875278396,458.0,544.0,0.8224570751190186,0.02842927724123001,0.14286142587661743,0.9287410926365796
max,0.755608028335301,0.7529002320185615,1008.0,1945.0,0.950764000415802,0.15492196381092072,0.25653761625289917,1.0
