statistic,overlap_at_N,precision_at_N,de_nsig_counts_real,de_nsig_counts_pred,pearson_delta,mse,mae,discrimination_score_l1
count,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.12936255479791844,0.13273164279029392,148.84766584766584,117.52579852579852,0.33396877403524977,0.004256452966929947,0.043838701561020106,0.7112690085663059
std,0.1983153271115975,0.20399539974209951,215.06630066786838,245.7097464595382,0.307551450507623,0.0033752543727767104,0.01358084567870051,0.27578435443011345
min,0.0,0.0,4.0,0.0,-0.21578799188137054,0.0012188567779958248,0.02525976113975048,0.014742014742014753
25%,0.0,0.0,19.0,0.0,0.06517376750707626,0.0021912374068051577,0.03398117795586586,0.5159705159705159
50%,0.0,0.0,67.0,3.0,0.2843394875526428,0.00335537176579237,0.04115641117095947,0.7813267813267813
75%,0.21296296296296297,0.24890829694323144,170.0,71.0,0.6017976403236389,0.005149586126208305,0.05018879100680351,0.9680589680589681
max,0.7527675276752768,1.0,1139.0,1278.0,0.9544838666915894,0.03207444027066231,0.11106106638908386,1.0
